City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
209,Mtwara,TZ,-10.2667,40.1833,66.97,90,46,7.67,scattered clouds,2022-07-21 01:29:51
210,North Bend,US,43.4065,-124.2243,72.25,87,100,12.66,overcast clouds,2022-07-21 01:29:52
211,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,48,0,26.46,clear sky,2022-07-21 01:29:52
212,Louga,RU,58.7372,29.8453,60.13,74,18,8.86,few clouds,2022-07-21 01:29:52
213,Maicao,CO,11.3832,-72.2432,81.41,76,3,12.59,clear sky,2022-07-21 01:29:53
214,Tazovskiy,RU,67.4667,78.7,45.5,87,100,10.89,overcast clouds,2022-07-21 01:29:53
215,Osa,RU,57.2829,55.4567,52.14,92,8,1.54,clear sky,2022-07-21 01:29:53
216,Rio Grande,BR,-32.035,-52.0986,58.95,92,0,12.12,clear sky,2022-07-21 01:29:53
217,Moron,AR,-34.6534,-58.6198,60.98,81,0,5.32,clear sky,2022-07-21 01:29:54
218,Sharjah,AE,25.3573,55.4033,93.49,52,0,10.36,clear sky,2022-07-21 01:29:54
219,Samsun,TR,41.25,36.3333,68.76,72,75,9.22,broken clouds,2022-07-21 01:29:54
220,Enumclaw,US,47.2043,-121.9915,86.13,47,0,5.99,clear sky,2022-07-21 01:29:55
221,Ubinskoye,RU,55.3068,79.6802,59.9,96,100,11.25,light rain,2022-07-21 01:29:55
222,Hobyo,SO,5.3505,48.5268,74.82,80,69,23.4,broken clouds,2022-07-21 01:29:55
223,Sinnamary,GF,5.3833,-52.95,77.31,85,42,5.75,scattered clouds,2022-07-21 01:29:56
224,Chokurdakh,RU,70.6333,147.9167,54.37,43,57,8.01,broken clouds,2022-07-21 01:24:26
225,Inhambane,MZ,-23.865,35.3833,67.15,85,0,5.55,clear sky,2022-07-21 01:29:56
226,Puerto Colombia,CO,10.9878,-74.9547,80.69,86,36,21.12,scattered clouds,2022-07-21 01:29:56
227,Cayenne,GF,4.9333,-52.3333,81.09,1,20,0.0,few clouds,2022-07-21 01:30:57
228,Isangel,VU,-19.55,169.2667,84.31,74,75,6.91,broken clouds,2022-07-21 01:30:57
229,Husavik,IS,66.0449,-17.3389,45.5,88,73,1.59,broken clouds,2022-07-21 01:30:57
230,College,US,64.8569,-147.8028,69.75,48,75,12.66,broken clouds,2022-07-21 01:30:57
231,Leningradskiy,RU,69.3833,178.4167,33.26,98,100,20.27,light snow,2022-07-21 01:26:12
232,Isiro,CD,2.7739,27.616,64.92,98,89,1.66,overcast clouds,2022-07-21 01:30:58
233,Beringovskiy,RU,63.05,179.3167,44.1,74,100,14.92,overcast clouds,2022-07-21 01:23:22
234,Bireun,ID,5.203,96.7009,82.85,59,100,2.62,overcast clouds,2022-07-21 01:30:58
235,Marawi,PH,7.9986,124.2928,77.43,78,69,1.23,broken clouds,2022-07-21 01:27:53
236,Peringat,MY,6.0333,102.2833,80.55,89,20,3.44,few clouds,2022-07-21 01:30:59
237,Saint George,US,37.1041,-113.5841,106.39,16,0,13.8,clear sky,2022-07-21 01:30:59
238,Bereda,ES,43.2686,-7.5406,63.41,98,97,6.2,overcast clouds,2022-07-21 01:30:59
239,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,2.3,overcast clouds,2022-07-21 01:31:00
240,Iqaluit,CA,63.7506,-68.5145,49.73,81,75,0.0,shower rain,2022-07-21 01:30:13
241,Mayumba,GA,-3.432,10.6554,69.3,95,35,4.88,scattered clouds,2022-07-21 01:31:00
242,Kavaratti,IN,10.5669,72.642,80.74,79,100,19.62,light rain,2022-07-21 01:31:00
243,Port-Gentil,GA,-0.7193,8.7815,73.96,85,100,11.39,overcast clouds,2022-07-21 01:31:01
244,Aswan,EG,24.0934,32.907,87.1,26,0,13.8,clear sky,2022-07-21 01:31:01
245,Tuatapere,NZ,-46.1333,167.6833,46.45,79,100,4.72,overcast clouds,2022-07-21 01:31:01
246,Champasak,LA,14.75,106.0,76.08,96,98,5.01,light rain,2022-07-21 01:31:01
247,Volchikha,RU,52.0333,80.3833,70.65,55,100,12.24,overcast clouds,2022-07-21 01:31:02
248,Ishcherskaya,RU,43.7153,45.1264,68.11,77,100,2.19,overcast clouds,2022-07-21 01:31:02
249,Gat,IL,31.61,34.7642,75.88,100,0,3.13,clear sky,2022-07-21 01:31:02
250,Abu Zabad,SD,12.35,29.25,76.89,73,100,12.71,overcast clouds,2022-07-21 01:31:03
251,Bafoulabe,ML,13.8065,-10.8321,76.08,86,100,2.15,light rain,2022-07-21 01:31:03
252,Rio Gallegos,AR,-51.6226,-69.2181,28.45,80,0,20.71,clear sky,2022-07-21 01:31:03
253,Macenta,GN,8.5435,-9.471,66.9,99,100,4.12,light rain,2022-07-21 01:31:04
254,Zelenoborsk,RU,61.4669,64.0333,59.59,62,100,8.59,overcast clouds,2022-07-21 01:31:04
255,Port Alfred,ZA,-33.5906,26.891,56.17,97,99,1.01,overcast clouds,2022-07-21 01:31:04
256,Westport,US,41.1415,-73.3579,83.93,69,0,5.75,clear sky,2022-07-21 01:26:11
257,Det Udom,TH,14.906,105.0784,78.62,87,100,11.59,overcast clouds,2022-07-21 01:31:05
258,Saint-Augustin,CA,51.226,-58.6502,55.22,88,100,15.99,overcast clouds,2022-07-21 01:29:53
259,Sokol,RU,59.4617,40.1206,55.42,98,100,7.94,overcast clouds,2022-07-21 01:31:05
260,Bonavista,CA,48.6499,-53.1147,59.11,93,100,21.81,light rain,2022-07-21 01:31:06
